Total Raised,Candidate,Party,candidate_status
5885.98,Kimberly Margaret Ruff,LIBERTARIAN PARTY,C
6329,Ajay Sood,INDEPENDENT,C
5000,Kenneth E Nwadike Jr,DEMOCRATIC PARTY,C
257700,"Joe Edward Collins, III",REPUBLICAN PARTY,C
338684.66,Hart P. Cunningham,DEMOCRATIC PARTY,C
13015,Ryan Andrew Farber,DEMOCRATIC PARTY,C
20883.8,Sharmin Lynn Smith,DEMOCRATIC PARTY,C
2051,Cherunda Lynn Fox,INDEPENDENT,N
2371.88,Ryan Nicholas Von Bevern,DEMOCRATIC PARTY,N
3070682.92,Marianne Williamson,DEMOCRATIC PARTY,C
12466,Mark R. Charles,INDEPENDENT,C
18372.32,Fred Wiand,DEMOCRATIC PARTY,C
9632.83,Alan Howe,DEMOCRATIC PARTY,C
98203,Christin Noel Ms. Powers,DEMOCRATIC PARTY,C
2020,Roland Aranjo,GREEN PARTY,N
11420.36,Dario David Hunter,GREEN PARTY,C
5343.17,"John R Phillips, Jr.",LIBERTARIAN PARTY,C
26329775.98,John K. Delaney,DEMOCRATIC PARTY,C
119477.74,"Richard Ojeda, II",DEMOCRATIC PARTY,C
4126778.09,Julian Castro,DEMOCRATIC PARTY,C
14899167.24,Kirsten Gillibrand,DEMOCRATIC PARTY,P
2800,Kurtis King Mr Wilson,DEMOCRATIC PARTY,N
5308245.88,Jay R Inslee,DEMOCRATIC PARTY,C
3172776.13,John W. Hickenlooper,DEMOCRATIC PARTY,P
871852.09,William Floyd (bill) Weld,REPUBLICAN PARTY,C
33521,Ben Gleiberman,DEMOCRATIC PARTY,C
3506968.46,Michael F. Bennet,DEMOCRATIC PARTY,C
8538.68,Kenneth Reed Armstrong,LIBERTARIAN PARTY,C
8998.28,Willie Felix Carter,DEMOCRATIC PARTY,C
2715,Joseph Charles Schriner,INDEPENDENT,N
56001,James Peppe,REPUBLICAN PARTY,C
5682021.06,Roque Rocky De  La  Fuente,REPUBLICAN PARTY,C
407688.06,Henry Hewes,DEMOCRATIC PARTY,C
101225.45,Christopher Brainard,REPUBLICAN PARTY,C
29660.34,Howie Hawkins,GREEN PARTY,C
56859.22,Ami Horowitz,DEMOCRATIC PARTY,C
2825,Shawn W Howard,INDEPENDENT,N
15166.45,Dan Taxation Is Theft Behrman,LIBERTARIAN PARTY,C
6295.82,Chance Bradford Mr Trahan,NON-PARTY,C
16506.75,Mark Allan Pierce,DEMOCRATIC PARTY,C
4183.09,Jennifer Vogel-walcutt,DEMOCRATIC PARTY,C
5274483.57,Andrew Yang,DEMOCRATIC PARTY,C
5792.07,Daphne Denise Bradford,DEMOCRATIC PARTY,C
6062974.29,Tulsi Gabbard,DEMOCRATIC PARTY,C
25090947.58,Kamala D. Harris,DEMOCRATIC PARTY,C
35654983.51,Elizabeth Warren,DEMOCRATIC PARTY,C
12470614.53,Cory A. Booker,DEMOCRATIC PARTY,C
32337553.74,Pete Buttigieg,DEMOCRATIC PARTY,C
13638614.48,Beto O'Rourke,DEMOCRATIC PARTY,C
93812.67,Wayne Martin Messam,DEMOCRATIC PARTY,C
209260.76,Maurice Robert Gravel,DEMOCRATIC PARTY,C
2586127.6,Eric Michael Swalwell,DEMOCRATIC PARTY,P
1940003.25,Seth Moulton,DEMOCRATIC PARTY,P
2071211.06,Steve Bullock,DEMOCRATIC PARTY,C
1087564.24,Bill De Blasio,DEMOCRATIC PARTY,C
46491503.24,Bernie Sanders,DEMOCRATIC PARTY,C
22043828.95,Joe Biden,DEMOCRATIC PARTY,C
124369310.76,Donald J. Trump,REPUBLICAN PARTY,C
12710254.28,Amy J. Klobuchar,DEMOCRATIC PARTY,C
889398.86,Timothy J. Ryan,DEMOCRATIC PARTY,C
185217.27,Adam Kokesh,LIBERTARIAN PARTY,C
9043.81,Timothy Michael Mr. Villari,REPUBLICAN PARTY,C
14121,Valerie Lin Dr. Mccray,DEMOCRATIC PARTY,C